"Frequency Output","Frequency Input","FCC Callsign","Agency/Category","Description","Alpha Tag","PL Tone","Mode","Class Station Code","Tag"
"154.95","0","","Westwood ","Police","WWPd9","023 DPL","FM","","Law Talk"
"155.01","0","KEB646","Cresskill ","Police Dispatch","PD 1 Disp","152 DPL","FMN","BM","Law Dispatch"
"155.01","0","KNFC521","River Edge ","River Edge  EMS Dispatch","RE EMS1","114.8 PL","FMN","BM","EMS Dispatch"
"155.04","0","WPKT950","River Edge ","River Edge  Public Works Operations","RE DPW","413 DPL","FMN","BM","Public Works"
"155.055","0","WNSV989","Lyndhurst ","Emergency 9 OEMFDPD","EMC 9D","290 NAC","P25","RM","Emergency Ops"
"155.055","0","WNSV989","Lyndhurst ","Station 323  ALERT","FD Sta 32 3","203.5 PL","FMN","BM","Fire Dispatch"
"155.055","0","WNSV989","Lyndhurst ","OEMFDPDDPWCERT","OEM 9A","192.8 PL","FMN","RM","Emergency Ops"
"155.055","0","WNSV989","Lyndhurst ","Public Works Police Ch 2","DPW/PD-2","103.5 PL","FMN","BM","Public Works"
"155.055","0","","South Bergen County Fire Mutual Aid Net","Fire 9 Emergency Management Common ","EMR-9","192.8 PL","FM","BM","Emergency Ops"
"155.115","0","WNYS981","Ridgefield Park ","Fireground","FD / FG","411 DPL","FMN","M","Fire-Tac"
"155.13","0","KBS936","Alpine ","Police 2 Back Up","PD 2","612 DPL","FMN","BM","Law Tac"
"155.13","0","KEB330","Closter ","Fire Ch 3","Fire 3","203.5 PL","FMN","BM","Fire-Talk"
"155.13","0","WPUZ234","Demarest","Police","PD 2","71.9 PL","FMN","BM","Law Talk"
"155.13","0","KEF730","Emerson ","Police 2  Mutual Aid","PD 2 M/A","71.9 PL","FMN","BM","Law Talk"
"155.13","0","KAU754","Northvale ","Police 2","2","71.9 PL","FM","BM","Law Talk"
"155.13","0","KBS938","Norwood ","Police Ch 2","Police 2","71.9 PL","FM","BM","Law Talk"
"155.13","0","KNDG603","Old Tappan ","Police 2","PD 2","71.9 PL","FMN","BM","Law Talk"
"155.13","159.045","KEF720","Pascack Valley Interboro Police","HillsdaleWestwood Police Dispatch","PV Inter PD 1","71.9 PL","FMN","RM","Law Dispatch"
"155.13","0","KEF304","River Vale ","Police","PD 2","71.9 PL","FMN","BM","Law Talk"
"155.145","0","","New Milford ","Fireground","FD / FG","114.8 PL","FMN","M","Fire-Tac"
"155.145","0","","Oradell ","Fireground","FD / FG","114.8 PL","FM","M","Fire-Tac"
"155.145","0","KQM702","River Edge ","River Edge  Police 2  Fireground Operations","RE PD2/FD2","114.8 PL","FMN","BM","Fire-Tac"
"155.16","0","","Allendale","Fire Operations 2","Alndale FD 5","123.0 PL","FMN","BM","Fire-Tac"
"155.16","0","","Lyndhurst ","N J S A R Operations","R5 NJSAR","173.8 PL","FMN","BM","Emergency Ops"
"155.16","0","WPUK994","Rutherford ","Board of Education  Buses","BOE BUSES","CSQ","FM","BM","Schools"
"155.16","0","WPMQ698","Upper Saddle River ","Fire Operations","USR FD Ops","173.8 PL","FMN","M","Fire-Tac"
"155.175","0","KWV441","Carlstadt","EMSDispatch","Carls EMS","100.0 PL","FMN","BM","EMS Dispatch"
"155.175","0","WPME336","Garfield","EMS Garfield Volunteer Ambulance Corps rarely used","EMS GVAC","167.9 PL","FM","BM","EMS-Tac"
"155.175","0","WZZ986","Lyndhurst ","Fire  Rescue 2  FDEMS Heavy Rescue  Coordination with ALS","Rescue 2","100.0 PL","FMN","BM","Fire-Talk"
"155.175","0","","North Arlington ","Emergency SquadEMS","EMS 1","110.9 PL","FM","BM","EMS-Talk"
"155.175","0","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","JEMS 1 Paramedic Dispatch","JEMS 1 Disp","100.0 PL","FM","BM","EMS Dispatch"
"155.19","159.21","KEF730","Emerson ","Police 1  Dispatch Secondary Digital","PD 1 Digital","730 NAC","P25","RM","Law Tac"
"155.19","0","KEF730","Emerson ","Police 1  Dispatch Primary Analog","PD 1 Analog","88.5 PL","FMN","BM","Law Dispatch"
"155.19","0","KEF720","Hillsdale","Police","Police","71.9 PL","FM","BM","Law Tac"
"155.19","0","KNDG603","Old Tappan ","Police Dispatch","PD Disp","71.9 PL","FMN","BM","Law Dispatch"
"155.19","158.9625","KEF304","Pascack Valley Interboro Police","EmersonRiver Vale Police Dispatch","PV Inter PD 2","88.5 PL","FMN","RM","Law Dispatch"
"155.19","158.9625","KEF304","River Vale ","Police","PD 1","88.5 PL","FMN","RM","Law Dispatch"
"155.205","0","KTT895","Bogota ","EMSRescue","Bogota EMS1 ","114.8 PL","FMN","BM","EMS Dispatch"
"155.205","0","","East Bergen Ambulance Association ","East Bergen Ambulance Assoc","EBAA Disp","114.8 PL","FMN","BM","EMS Dispatch"
"155.205","0","KSV879","Englewood ","EMS Operations","Englw EMS ","114.8 PL","FM","BM","EMS Dispatch"
"155.205","0","KUY364","Englewood Cliffs ","EMS Dispatch","EngClfs EMS","114.8 PL","FMN","BM","EMS Dispatch"
"155.205","0","WPIK654","Fairview ","EMS Dispatch","EMS Disp","114.8 PL","FM","BM","EMS Dispatch"
"155.205","0","KVD577","Fort Lee","EMS","EMS Disp","127.3 PL","FM","BM","EMS Dispatch"
"155.205","0","KNCN207","Palisades Park ","EMS Dispatch","EMS Disp","114.8 PL","FMN","BM","EMS Dispatch"
"155.205","0","KUY364","Ridgefield","EMS Dispatch","EMS Disp","114.8 PL","FM","BM","EMS Dispatch"
"155.205","0","WPGD914","Tenafly ","EMS","EMS","114.8 PL","FMN","BM","EMS Dispatch"
"155.205","0","WPOX470","Upper Saddle River ","EMS Use","USR EMS Use","136.5 PL","FMN","BM","EMS-Tac"
"155.22","0","WPME336","Garfield","EMS 2 ","EMS 2","CSQ","FM","M","EMS-Tac"
"155.22","0","KEP630","Lodi","EMS Dispatch","EMS Dispatch","167.9 PL","FMN","BM","EMS Dispatch"
"155.235","0","WNVY974","Central Communications","EMS 2 Tri Boro Vol Ambulance Squad","TB VAS/EMS2","173.8 PL","FMN","BM","EMS-Talk"
"155.235","0","","East Rutherford ","EMS Squad","EMS Disp","177.3 PL","FMN","BM","EMS Dispatch"
"155.235","0","WZZ986","Lyndhurst ","Fire  Rescue 3  FDEMS Heavy Rescue","Rescue 3","205 DPL","FMN","BM","Fire-Tac"
"155.25","159.0075","KEB615","North Arlington ","PoliceEMS Dispatch","PD/EMS Disp","110.9 PL","FMN","RM","Multi-Dispatch"
"155.265","0","WYF945","Closter ","EMS","EMS","71.9 PL","FMN","BM","EMS Dispatch"
"155.265","0","KEP630","Harrington Park ","EMS","EMS","71.9 PL","FM","BM","EMS Dispatch"
"155.265","0","WPQH878","New Milford ","EMS Operations","EMS Disp","203.5 PL","FM","BM","EMS Dispatch"
"155.265","0","WPQD611","Northern Valley Interboro Fire","EMS Response","NV EMS Resp","71.9 PL","FMN","BM","EMS-Tac"
"155.265","0","KEP630","Northvale ","EMS","EMS ","71.9 PL","FM","BM","EMS-Talk"
"155.265","150.775","WPIN508","Norwood ","EMS Dispatch","EMS Disp","71.9 PL","FM","RM","EMS Dispatch"
"155.265","0","KWT731","Washington Township","EMS Operations","EMS Disp","107.2 PL","FM","BM","EMS Dispatch"
"155.28","0","WZZ986","Lyndhurst ","Fire  Rescue 1  FDEMS Heavy Rescue","Rescue 1","229.1 PL","FMN","BM","Fire-Tac"
"155.28","0","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","JEMS 3","JEMS 3","100.0 PL","FM","BM","Emergency Ops"
"155.28","0","WPVQ782","Ramsey ","Ramsey Rescue Squad  Operations","EMS Ops","233.6 PL","FM","BM","EMS-Talk"
"155.295","0","WNYF991","Bergenfield ","EMS Talk Around","EMS T/A","94.8 PL","FMN","BM","EMS-Tac"
"155.295","0","WPPC213","Cresskill ","EMS DispFire Ops and Response","EMS Disp/FD Ops","210.7 PL","FMN","RM","Multi-Talk"
"155.295","0","WQKP681","Lyndhurst ","Lyndhurst Twp Area Command 3","LY-ETS-3","731 DPL","FMN","BM","Interop"
"155.295","0","WNYI213","MidBergen Mutual Aid ","Mid Bergen HAZMAT Rarely Used","MBMA Hazmat","127.3 PL","FMN","BM","Fire-Tac"
"155.295","0","KEP630","Paramus ","EMS","EMS","445 DPL","FMN","BM","EMS-Talk"
"155.34","0","WZZ986","Lyndhurst ","Fire  Rescue 4  FDEMS Heavy Rescue  Coordination with Hospitals","Rescue 4","CSQ","FMN","BM","Hospital"
"155.34","0","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","JEMS 2","JEMS 2","100.0 PL","FM","BM","Hospital"
"155.355","0","","Norwood ","EMS Tac","EMS Tac","71.9 PL","FM","M","EMS-Tac"
"155.355","0","WNPL332","Rochelle Park ","Office of Emergency Management","RochPk OEM","100.0 PL","FMN","BM","Emergency Ops"
"155.37","0","KEB223","Central Communications","Police Ch 2","TB PD 2","173.8 PL","FMN","BM","Law Tac"
"155.385","0","WPCC879","Northern New Jersey Mobile IntensiveCare Consortium MICCOM","JEMS 5","JEMS 5","162.2 PL","FM","BM","EMS-Talk"
"155.4","0","WZZ986","Lyndhurst ","Fire  Rescue 6  FDEMS Heavy Rescue  Coordination with UMDNJ University Hospital EMS  REMCS","Rescue 6","127.3 PL","FMN","BM","Emergency Ops"
"155.415","159.03","KEA422","Englewood ","Police 1 ","Englw PD 1","205 DPL","FMN","RM","Law Dispatch"
"155.43","0","KBS936","Alpine ","Police 1 Back Up","PD 1","612 DPL","FMN","BM","Law Tac"
"155.43","0","KEB646","Cresskill ","Police Ch 2","PD 2","612 DPL","FMN","BM","Law Talk"
"155.43","154.71","WPUZ234","Demarest","Police Local","PD 1 Local","612 DPL","FMN","RM","Law Dispatch"
"155.43","0","KEB330","Northern Valley Interboro Police","Northern Valley Police Dispatch","NV Inter PD 1","612 DPL","FMN","BM","Law Dispatch"
"155.4525","159.0975","KNCV394","Palisades Interstate Park Commission","Police 1 Back Up","PIP PD 1","265 DPL","FMN","RM","Law Tac"
"155.475","0","WPIW837","Ridgewood ","Village Shared Tactical ALPHA","RW TAC A","343 DPL","FMN","BM","Multi-Tac"
"155.49","0","KEB562","Little Ferry ","Police","PD Disp","173.8 PL","FM","BM","Law Dispatch"
"155.49","0","WQN928","Palisades Park ","Police Old Mutual Aid Little Ferry","PD / MA","114.8 PL","FMN","BM","Law Talk"
"155.52","0","WPAG628","Leonia ","Police Back Up","PD VHF (BU)","265 DPL","FM","BM","Law Tac"
"155.535","0","","Lodi","Police Loxal  TS Back Up","PD 2 VHF","141.3 PL","FMN","BM","Law Tac"
"155.55","153.875","KZI402","Law Enforcement Interops","VHF Trunk System Patch","Interops VHF","156.7 PL","FMN","RM","Interop"
"155.565","0","WPEB723","Ridgefield","Police","PD Disp","156.7 PL","FM","RM","Law Dispatch"
"155.58","154.71","KWV544","Hackensack ","Police","PD 1 Disp","173.8 PL","FMN","RM","Law Dispatch"
"155.61","0","KEB652","Edgewater ","Police 2","PD 2","88.5 PL","FMN","BM","Law Talk"
"155.61","0","KEB652","Edgewater ","DPW","DPW","162.2 PL","FM","BM","Public Works"
"155.61","0","KEA416","Fairview ","Police","1","192.8 PL","FM","BM","Law Dispatch"
"155.64","0","KEA422","Englewood ","Police 2","Englw PD 2","205 DPL","FMN","BM","Law Tac"
"155.67","0","KCA766","Fort Lee","Police","PD Disp","127.3 PL","FM","BM","Law Dispatch"
"155.7","159.21","KLS414","Teaneck ","Police  EMS","TeaneckPDEMS","127.3 PL","FMN","RM","Multi-Dispatch"
"155.73","0","KEB562","Little Ferry ","South Bergen Mutual Aid Net","Pol Mut Aid","167.9 PL","FM","BM","Law Talk"
"155.73","0","KNJM957","Lyndhurst ","South Bergen Mutual Aid Net","Pol Mut Aid","293 NAC","P25","BM","Interop"
"155.73","0","(various)","South Bergen County Police Mutual Aid Net","Police Interops","Police SBMA","167.9 PL","FMN","BM","Interop"
"155.73","0","WNBT663","WoodRidge","South Bergen Mutual Aid Net","Pol Mut Aid","167.9 PL","FMN","BM","Interop"
"155.745","0","WPKL648","Westwood ","Parking Authority","WW PkAuth","71.9 PL","FM","M","Public Works"
"155.7525","0","KDS612","Hasbrouck Heights ","Fire Interop VTAC  CALLING","Fire Interop","136.5 PL","FMN","BM","Fire-Talk"
"155.76","0","KQT898","Rutherford ","Fire Ch 2","Rthrfrd FD 2","167.9 PL","FMN","BM","Fire-Tac"
"155.79","153.965","KEB223","Central Communications","Police Ch 1 Dispatch","TB PD 1","173.8 PL","FMN","RM","Law Dispatch"
"155.805","158.91","KYY915","Carlstadt","Fire Ch 2  Response","CarlsFD2Resp","167.9 PL","FMN","RM","Fire-Tac"
"155.805","0","WYK481","Elmwood Park ","Public Works","DPW","100.0 PL","FMN","BM","Public Works"
"155.805","158.91","","South Bergen County Fire Mutual Aid Net","Carlstadt Fire 2 Repeater ","Crlst F Rptr","167.9 PL","FMN","RM","Fire-Talk"
"155.805","0","","WoodRidge","DPW","DPW","114.8 PL","FMN","BM","Public Works"
"155.82","0","KDD424","Central Communications","Fire EMS  DPW Dispatch","FD/EMS/DPW","173.8 PL","FMN","BM","Multi-Dispatch"
"155.8275","159.45","WPVJ670","Bergenfield ","Fire 1 Dispatch  Response","BField FD 1","115 DPL","FMN","RM","Fire Dispatch"
"155.835","0","WNUF358","Edgewater ","Police","PD 3 ","","FMN","BM","Law Tac"
"155.835","0","","Harrington Park ","Police Car to Car","PD Mobile","CSQ","FM","M","Law Tac"
"155.8425","0","KDJ526","Glen Rock","Police 3  Tactical","GR PD 3","632 NAC","P25","BM","Law Tac"
"155.8425","0","KDJ526","Glen Rock","DPW","GR DPW","151.4 PL","FMN","BM","Public Works"
"155.865","0","WNFW365","Utilities Utilities ","Bergen Co Utilities Auth  Land Fill North Arlington","BCUA  NA","123.0 PL","FM","BM","Utilities"
"155.88","0","KAR839","East Rutherford ","Public Works  Fire Ground","DPW","100.0 PL","FMN","BM","Public Works"
"155.88","0","KUS577","Oradell ","Police  Public Works","Police/PubWk","71.9 PL","FM","BM","Public Works"
"155.88","0","KNCZ347","Wallington ","Public Works","Wal DPW","156.7 PL","FMN","BM","Public Works"
"155.9025","0","WQPX238","River Vale ","Pascack Valley DPW Montvale and River Vale","PV DPW","","NXDN","BM","Public Works"
"155.94","0","KFK641","Hasbrouck Heights ","Public Works","DPW ","162.2 PL","FM","BM","Public Works"
"155.94","0","KDS653","Little Ferry ","Fire Dispatch and Response Police Ch 2 and DPW","FD Disp","173.8 PL","FM","BM","Fire Dispatch"
"155.955","0","KBV944","Cliffside Park ","DPW","DPW","118.8 PL","FMN","BM","Public Works"
"156","0","KK6450","Teaneck ","Fireground","TeaneckFrgnd","127.3 PL","FMN","BM","Fire-Tac"
"156.06","0","WPFD966","Carlstadt","Public Works","CarlsPubWrks","82.5 PL","FMN","BM","Public Works"
"156.105","0","KUQ516","Palisades Interstate Park Commission","Highway Maintenance","PIP Mant ","151.4 PL","FMN","BM","Public Works"
"156.135","0","WPKM282","Teaneck ","Public Works","TeaneckPubWk","94.8 PL","FMN","RM","Public Works"
"156.195","158.9925","KXX443","Rutherford ","EMS DispatchOperations","RthrfdEMSDis","167.9 PL","FMN","RM","EMS Dispatch"
"156.21","0","KEB913","Hasbrouck Heights ","Police  Information","Police 2","162.2 PL","FMN","BM","Law Talk"
"156.21","151.1","WNPC934","Tenafly ","Police Dispatch Simulcast from NJICS","Tenafly PD 1","114.8 PL","FMN","RM","Law Dispatch"
"156.24","0","WPIS316","WoodRidge","Police 2  DPW","Police 2","114.8 PL","FMN","BM","Law Tac"
"158.13","0","","Pascack Valley Area Fire","Westwood Fireground","Westwood FD","754 DPL","FMN","M","Fire-Tac"
"158.13","0","","Washington Township","Fire Operations","FD Ops","754 DPL","FM","BM","Fire-Talk"
"158.1525","153.4925","WQSH674","Englewood ","Public Works Operations","Englw DPW","11 RAN","NXDN","RM","Public Works"
"158.265","0","","Bergenfield ","Police 4","Police 4","265 DPL","FMN","BM","Law Tac"
"158.73","151.4525","WPIW837","Northwest Bergen Central Dispatch","Northwest Bergen Central Dispatch","NW B Disp","167.9 PL","FMN","RM","Multi-Dispatch"
"158.73","151.4525","WPIW837","Northwest Bergen Central Dispatch","Glen RockRidgewood Police Dispatch","NW B Ch 1 D","765 NAC","P25","RM","Law Dispatch"
"158.73","0","KEB440","Wyckoff ","Police Ch 2 Back Up","MP/Wy PD 2","167.9 PL","FMN","BM","Law Talk"
"158.76","0","WPTL776","Emerson ","Fire Dispatch","FD Disp","100.0 PL","FM","BM","Fire Dispatch"
"158.76","0","KDS680","Fair Lawn ","Public Works","FrLwnPubWrks","043 DPL","FMN","BM","Public Works"
"158.76","0","KDR772","Hillsdale","Fire Pagers","FD Page","100.0 PL","FM","BM","Fire Dispatch"
"158.76","0","KDR464","Old Tappan ","Fire Dispatch","FD Disp","100.0 PL","FMN","BM","Fire Dispatch"
"158.76","0","","Pascack Valley Area Fire","Pascask Valley Area Fire Dispatch","PV FD Disp","100.0 PL","FMN","BM","Fire Dispatch"
"158.76","0","KDR464","River Vale ","Fire Dispatch","FD Disp","100.0 PL","FMN","BM","Fire Dispatch"
"158.76","0","WPXH896","Washington Township","Fire Dispatch","FD Disp","107.2 PL","FM","BM","Fire Dispatch"
"158.76","0","KDQ254","Westwood ","Fire Dispatch","WWFireDisp","100.0 PL","FM","BM","Fire Dispatch"
"158.7825","156.09","KEB440","Wyckoff ","Fire Response PDEMS BackUp","Fire Resp","146.2 PL","FMN","RM","Multi-Talk"
"158.79","0","","Wyckoff ","Police Surveillance Back Up","Wyck PD Surv","","FMN","BM","Law Tac"
"158.7975","0","KEJ811","Allendale","Fire and EMS Dispatch","Alndale Disp","315 DPL","FMN","BM","Fire Dispatch"
"158.7975","151.1975","KEJ811","Allendale","Fire Response and Command","Aindale FD Rsp","315 NAC","P25","RM","Fire-Tac"
"158.805","153.8","WPKB565","Bergenfield ","EMSOEM Dispatch","EMS/OEM Disp","155 DPL","FMN","RM","Multi-Dispatch"
"158.82","159.045","KNCT549","BOX 54 Fire Rehab","Box 54 Dispatch Teaneck FD Disp","Box 54 Disp","127.3 PL","FMN","RM","Fire Dispatch"
"158.82","159.045","KNCT549","Teaneck ","Fire Dispatch","TeaneckFDDis","127.3 PL","FMN","RM","Fire Dispatch"
"158.835","0","WPEG308","Hackensack ","Housing Authority Maintenance","HA Maint","","FMN","BM","Public Works"
"158.85","155.97","WXR237","Saddle Brook ","Police","PD Disp","114.8 PL","FM","RM","Law Dispatch"
"158.88","0","KBT809","Emerson ","Fireground","FD FG","100.0 PL","FM","M","Fire-Tac"
"158.88","0","KBT809","Emerson ","Fireground P25","FD FG Dig","299 NAC","P25","M","EMS-Tac"
"158.88","0","","Pascack Valley Area Fire","Emerson Fireground","Emerson FD","100.0 PL","FMN","M","Fire-Tac"
"158.895","0","WPAA293","Old Tappan ","Fireground","FD / FG ","100.0 PL","FMN","BM","Fire-Tac"
"158.895","0","","Pascack Valley Area Fire","Old Tappan Fireground","Old Tapp FD","100.0 PL","FMN","M","Fire-Tac"
"158.895","0","","Pascack Valley Area Fire","Washington Township Fireground","Township FD","107.2 PL","FMN","M","Fire-Tac"
"158.925","0","KNFJ308","Englewood Cliffs ","Fireground","EngClfs FG","503 DPL","FMN","M","Fire-Tac"
"158.94","0","KDJ528","Franklin Lakes ","FireEMSDPW Dispatch","FrnkLkESDisp","CSQ","FMN","BM","Multi-Dispatch"
"158.94","0","KDJ526","Glen Rock","Fire  EMS Pagers and Public Works","GR FD/EMS ","123.0 PL","FM","BM","Multi-Dispatch"
"158.94","0","WPRW378","HoHoKus","FireEMS Dispatch","FD/EMS Disp","123.0 PL","FMN","BM","Fire Dispatch"
"158.94","0","KDJ523","Midland Park ","Fire and EMS Dispatch","MP FD/EMS","146.2 PL","FMN","BM","Fire Dispatch"
"158.94","0","","Norcon Mutual Aid","MUNICIPAL DISPATCHES","NorconDisp","123.0 PL","FM","","Multi-Dispatch"
"158.94","0","KDJ524","Ridgewood ","Fire Dispatch  Public Works Operations","RW FD/DPW","123.0 PL","FMN","BM","Multi-Dispatch"
"158.94","0","KDJ527","Waldwick ","FireEMS Pagers  Public Works Dispatch","Paging","CSQ","FMN","BM","Multi-Dispatch"
"158.94","0","KDJ525","Wyckoff ","FireEMS Dispatch and ServicesPublic Works","WyF/EPage","123.0 PL","FMN","BM","Multi-Dispatch"
"158.9625","153.875","WQN928","Palisades Park ","EMS Dispatch  Police Ch 3 ","EMS Disp/PD3","732 DPL","FMN","RM","EMS Dispatch"
"158.97","0","","Tenafly ","Police Tactical Shared with Carlstedt Borough","Tenafly PD2","754 DPL","FMN","BM","Law Tac"
"158.985","0","WQQ940","Ridgewood ","Village Shared Tactical BRAVO","RW TAC B","633 NAC","P25","BM","Multi-Tac"
"159.03","0","","Wyckoff ","Police Ch 8  Rarely Used BackUp","Wyck Pd 8","67.0 PL","FMN","BM","Law Talk"
"159.03","0","KEA391","Wyckoff ","Police Ch 3 Back Up","Wyck PD 3","254.1 PL","FMN","M","Law Tac"
"159.075","0","WPVL715","Hasbrouck Heights ","Used as Fire Response Repeater Input","OEM","205 DPL","FMN","BM","Emergency Ops"
"159.09","0","KNCK652","Franklin Lakes ","PD VHF Car to Car","PD Vhf","123.0 PL","FM","M","Law Tac"
"159.115","0","","Upper Saddle River ","EMS Tactical","USR EMS Tac","241.8 PL","FMN","M","EMS-Tac"
"159.1275","156.0825","WQXE517","WoodRidge","Fire Response  Operations 1","FD Rsp/Ops 1","141.3 PL","FMN","RM","Fire-Tac"
"159.135","0","KNNR771","Alpine ","Road Department","DPW","","FMN","BM","Public Works"
"159.135","0","WNAZ654","Englewood Cliffs ","DPW","EngClfs DPW","131.8 PL","FMN","BM","Public Works"
"159.195","0","WPOX461","Englewood ","Fireground Operations","Englw FD 2","065 DPL","FMN","M","Fire-Tac"
"159.21","0","KEF730","Emerson ","Police 3  Tactical Digital","PD 3 Digital","730 NAC","P25","BM","Law Tac"
"159.21","0","KEF730","Emerson ","Police 3  Tactical Analog","PD 3 Analog","88.5 PL","FMN","BM","Law Tac"
"159.21","0","","Hillsdale","Police 3","PD 3","71.9 PL","FMN","BM","Law Tac"
"159.285","0","KYU903","Hackensack ","Fireground 1","FG 1","532 DPL","FMN","M","Fire-Tac"
"159.3075","0","WQQ940","Ridgewood ","Village Shared Tactical DELTA","RW TAC D","589 NAC","P25","BM","Multi-Tac"
"159.33","0","KEJ811","Allendale","BoroOps DPW","Alndale DPW","712 DPL","FMN","BM","Public Works"
"159.33","0","KEJ811","Allendale","BoroWide FDEMSPD","Alndale Com","315 DPL","FMN","BM","Interop"
"159.735","0","WQTS488","Bogota ","DPW 2 New","Bogota DPW 2","","FMN","BM","Public Works"
"159.945","0","","Dumont","EMS Operations","EMS","123.0 PL","FM","BM","EMS-Tac"
"166.25","0","KDR772","Emerson ","FD Ch 3 Pascack Valley","FD Ch 3","100.0 PL","FM","BM","Fire-Talk"
"166.25","151.3175","KDR772","Emerson ","Fire Operations","FD Ops","299 NAC","P25","RM","Fire-Talk"
"166.25","159.165","KDR772","Hillsdale","Fireground","Fireground","100.0 PL","FM","RM","Fire-Tac"
"166.25","159.165","WPAA293","Old Tappan ","Fire Response","FD Resp","100.0 PL","FMN","RM","Fire-Tac"
"166.25","159.165","WPAA293","Pascack Valley Area Fire","Pascask Valley Area Fire Response","PV FD Resp.","100.0 PL","FMN","RM","Fire-Tac"
"166.25","0","KDR772","River Vale ","Response","FD Resp","100.0 PL","FMN","BM","Fire-Tac"
"166.25","0","KDR772","Westwood ","Fire Operations","WWFireOps","100.0 PL","FM","BM","Fire-Talk"
"411.25","0","","Federal Federal","Federal Reserve in East Rutherford","1","365 DPL","FM","BM","Federal"
"441.25","446.25","KA2OTD","70cm Ham","Robert Cirri Memorial Repeater Lyndhurst","RCMRG","210.7 PL","FM","RM","Ham"
"441.95","446.95","KA2MRK","70cm Ham","Paramus","KA2MRK /R","114.8 PL","FM","RM","Ham"
"443.1","448.1","K2GCL","70cm Ham","Bergen County FM Assoc  Franklin Lakes","BCFMA Fr Lake","CSQ","FM","RM","Ham"
"444.1","449.1","W2AKR","70cm Ham","Bergen County FM Assoc  Paramus","BCFMA Paramus","CSQ","FM","RM","Ham"
"444.15","449.15","KM4WUD","70cm Ham","Paramus DMR","Paramus DMR","","DMR","RM","Ham"
"448.8875","443.8875","KM4WUD","70cm Ham","Paramus NXDN","Paramus NXDN","1 RAN","NXDN","RM","Ham"
"451.1375","456.1375","WPGK709","Utilities Utilities ","PSEG Bergen Generation Station 1","PSEG BGS 1","107.2 PL","FMN","RM","Utilities"
"451.175","456.175","WPIK594","Allendale Board of Education","Board of Education Operations","Allendale BO","203.5 PL","FMN","RM","Schools"
"451.1875","456.1875","WPGK709","Utilities Utilities ","PSEG Bergen Generation Station 2","PSEG BGS 2 ","107.2 PL","FMN","RM","Utilities"
"451.2125","456.2125","WPGK709","Utilities Utilities ","PSEG Bergen Generation Station 3","PSEG BGS 3","107.2 PL","FMN","RM","Utilities"
"451.825","456.825","WQUT677","Businesses Other","DM Tour Buses","D&M Tours","627 DPL","FMN","RM","Transportation"
"451.85","456.85","WPVZ221","Businesses Fire Photography Firebuffs","Metro Fire Radio Montclair","MFR Mont","114.8 PL","FM","RM","Media"
"452.125","457.125","WPVZ221","Businesses Fire Photography Firebuffs","Metro Fire Radio Staff","MFR Staff","100.0 PL","FM","RM","Media"
"452.175","457.175","WQCB397","Businesses Fire Photography Firebuffs","Fire Radio New Jersey Ch 1 AlpineHackensack","FRNJ Ch. 1","114.8 PL","FM","RM","Media"
"452.45625","457.45625","WQOA890"," Mahwah Public Schools","Board of Education","BOE","","NXDN","RM","Schools"
"452.5","457.5","WQTF349","Businesses Other","Airport Livery Cab Service Fort Lee ","Airport Cab","043 DPL","FMN","RM","Transportation"
"453.025","458.025","WPPB886","Fire","Central Bergen Mutual Aid","CBMA Ops","203.5 PL","FMN","RM","Fire-Tac"
"453.025","458.025","","Paramus ","Tactical D","12 TAC D","203.5 PL","FMN","RM","Multi-Tac"
"453.0375","0","WQBS603","Maywood ","Maywood Fire 3 Fireground","FIRE 3","131.8 PL","FMN","BM","Fire-Tac"
"453.0375","0","WQBS603","Rochelle Park ","Fireground Shared with Maywood","RochPk FG2","131.8 PL","FMN","M","Fire-Tac"
"453.075","458.075","WQBS603","Maywood ","Maywood Fire 4","FIRE 4","131.8 PL","FMN","RM","Fire-Talk"
"453.075","0","WQBS603","Rochelle Park ","Fireground Also Mutual Aid Maywood","RochPk FG1","131.8 PL","FMN","M","Fire-Tac"
"453.1125","0","","Elmwood Park ","Fireground","FD 2","203.5 PL","FMN","M","Fire-Tac"
"453.15","458.15","KNDF367","Paramus ","Fire Command Primary","1 PRI CMD","136.5 PL","FMN","RM","Fire Dispatch"
"453.1625","458.1625","WQIV285","Central Communications","Fire UHF Ch 1","TB FD UHF 1","173.8 PL","FMN","RM","Fire-Talk"
"453.1625","458.1625","WQIV285","Pascack Valley Area Fire","Woodcliff Lake FD Fireground","WdClfLk FD","173.8 PL","FMN","RM","Fire-Tac"
"453.225","458.225","WNSG526","Saddle Brook ","Fire Pagers  Fireground","Fire Page/FG","97.4 PL","FM","RM","Fire-Tac"
"453.325","458.325","KB71093","Utilities Utilities ","NW Bergen Co Utilities Auth Waldwick","NWBCUA","123.0 PL","FM","RM","Utilities"
"453.375","458.375","KNDF367","Paramus ","Fire Command Secondary","2 SEC CMD","136.5 PL","FMN","RM","Fire-Talk"
"453.5","0","WNUA395","Elmwood Park ","Fire Dispatch","FD 1 Disp","203.5 PL","FMN","BM","Fire Dispatch"
"453.55","458.55","KLO484","Saddle River ","Police 2","PD 2","203.5 PL","FMN","RM","Law Talk"
